"","Gene","control_1","control_2","control_3","RNAi_1","RNAi_2","RNAi_3"
"664","tsl",161,161,240,293,281,321
"665","ttk",1529,1235,1358,1849,1498,1288
"666","tub",3245,2755,3386,2944,2378,2649
"667","αTub84B",186491,159498,188577,203277,160843,185541
"668","αTub84D",5379,5617,7948,6523,5512,6210
"669","αTub85E",56,76,68,190,131,152
"670","βTub60D",14448,10618,10931,17480,12445,12291
"671","βTub85D",57,33,69,276,117,121
"672","βTub97EF",254,250,345,558,488,590
"673","tud",38317,28208,34869,35327,27154,25333
"674","ptc",1981,1769,1999,1734,1428,1222
"675","tup",390,342,596,879,723,759
"676","twi",52,35,49,80,77,51
"677","snRNA:U1:21D",0,0,0,0,0,1
"678","snRNA:U2:14B",2,1,1,1,1,4
"683","snRNA:U5:14B",2,1,1,2,0,4
"685","snRNA:U5:34A",22,8,5,8,3,29
"686","snRNA:U5:35D",1,0,0,1,0,0
"687","snRNA:U5:63BC",17,15,13,21,10,37
"688","RpL40",86489,79962,95236,71866,47424,101127
"689","RpS27A",107176,96416,120075,91531,58549,169496
"690","Ubi-p63E",6794,6541,8293,10270,8546,9259
"691","Ubx",2717,2201,3256,2955,2179,2534
"692","unc",483,399,413,383,214,276
"693","Uro",1,4,1229,5,2,3
"694","ush",2494,2490,3190,3077,2668,2356
"696","v",42,82,118,341,288,373
"697","vap",5717,5386,6995,8127,6962,6622
"698","vg",162,118,229,340,359,245
"699","vir",5794,4880,5551,4697,3664,3502
"700","vls",2663,2078,2342,1842,1272,1883
"701","Vm26Aa",0,1,1,0,0,0
"702","Vm26Ab",0,0,1,3,1,6
"703","Vm34Ca",47,40,25,21,29,15
"704","vn",564,535,682,738,662,617
"706","hid",154,130,141,294,295,173
"707","wbl",130,94,47,276,272,220
"709","Yp1",1,2,1,3,2,1
"710","Yp3",41,86,73,57,70,63
"711","yrt",2366,2064,2563,2298,2035,1770
"713","Z600",3,6,8,10,6,11
"714","zen",1,0,0,1,0,2
"715","zen2",2,0,0,0,1,1
"716","uzip",8421,7343,9172,7368,5695,5777
"717","Zw",632,444,530,590,421,404
"718","Prosα4",8593,7000,8615,10070,7335,12833
"719","Dhfr",1387,1342,1734,1162,643,2740
"720","bs",1037,886,1183,953,814,836
"721","oc",499,616,708,516,541,507
"722","Pp1-87B",27822,22318,25993,25089,19142,20943
"723","Cdk1",6246,5268,5971,4569,2958,5903
"724","Cdk2",2194,2190,2427,1917,1189,2241
"725","Nrt",27340,25389,27005,29470,21425,22103
"726","tin",17,30,28,15,16,15
"727","Tm2",372,308,940,509,463,386
"728","nAChRβ2",870,811,1462,1689,1601,1681
"729","boca",2307,1942,2464,2279,1634,4150
"730","blow",1402,1136,1638,2389,2149,2249
"732","kst",12367,10843,11871,7190,5548,5226
"733","5-HT1A",918,831,1514,1723,1739,1362
"734","up",605,595,1381,775,528,494
"736","Mst98Cb",4,5,1,61,2,1
"737","Mst84Da",0,0,0,1,0,0
"738","Mst84Db",1,3,1,84,1,1
"739","Mst84Dc",5,0,3,68,3,5
"740","Mst84Dd",3,1,0,35,0,1
"741","mts",29710,26231,30404,27460,19760,24165
"742","Csp",12803,9722,13233,12961,10389,10916
"743","Ebp",0,0,0,0,3,0
"744","snRNA:U1:82Eb",14,14,16,7,10,40
"749","snRNA:U6:96Ab",1,4,9,2,2,13
"750","snRNA:U6:96Ac",5,5,11,7,4,23
"751","snRNA:U2:34ABa",95,76,77,86,52,234
"752","snRNA:U2:34ABb",0,0,0,1,1,2
"753","Ser",851,661,869,856,784,508
"754","ct",14636,12749,15185,10332,8493,7608
"755","nonA",7815,7185,8373,8199,6819,6320
"756","mex1",10,12,22,9,18,14
"757","Hrb87F",15449,14453,16712,13979,10333,10977
"758","DptA",32,1,6,6,11,13
"759","Syt1",7296,6408,12418,13498,13210,11794
"760","Rdl",4057,3554,6990,5996,6237,4935
"761","T48",209,186,266,214,179,193
"762","Wnt2",111,110,122,174,173,142
"763","HmgD",93040,90475,103987,62737,40693,71666
"764","porin",35269,26704,35498,33089,25542,37839
"765","mei-41",3297,2821,3356,2187,1616,1628
"766","Ptp4E",2936,2390,2767,2959,2405,2250
"767","Ptp99A",6465,5684,6754,8270,6773,6073
"768","Ptp10D",4121,3712,4581,5307,4717,4326
"769","aly",4,1,1,6,2,2
"770","fwd",11975,9437,11653,12393,10311,8584
"771","neb",4054,3570,4024,2277,1627,1752
"772","Klp61F",9482,8464,10337,6150,4317,4370
"773","Klp67A",4969,4723,5176,3076,2178,2450
"774","Klp64D",1547,1408,1899,2608,2320,2304
"775","Klp68D",1422,1258,1768,3129,2836,2663
"776","Klp98A",2518,2292,2788,2900,2713,2125
"778","RasGAP1",7477,6541,7282,5678,4454,4044
"779","shtd",6112,5005,5813,4674,3513,3147
"780","pdm2",111,102,153,445,438,375
"781","unk",6130,5426,6611,4783,3941,3814
"782","CrebA",613,503,706,1067,1011,802
"783","Vinc",1642,1491,1727,4161,3628,3368
"785","Pep",37667,32982,38332,34412,27887,28191
"786","RpS14a",33746,30420,37896,29900,20316,51950
"787","RpS14b",11902,11085,13883,9344,6783,15950
"788","PolG1",2431,2102,2411,1836,1225,1547
"791","me31B",14436,12606,15259,12903,9357,13009
"798","LysX",4,6,8,5,7,23
"799","Cyp1",64445,56450,70428,59554,43408,76160
"800","Gαq",1366,1193,1867,2260,2144,2117
"801","Ubc6",6367,5185,6673,6308,5075,5906
"802","Ten-m",6935,6378,8345,14859,13827,10964
"803","mew",602,594,724,1224,1185,919
"804","Polr3B",3598,3141,3653,2490,1962,1970
"805","Su(P)",1948,1871,2090,2337,1744,2924
"806","GlyP",20727,13857,28119,14745,14238,13003
"807","Fur1",2075,1653,2202,3476,3239,2840
"808","Ets97D",1502,1303,1562,1194,915,1086
"809","dy",18,13,10,22,18,16
"810","Mdr49",384,291,323,662,472,504
"811","Mdr65",4252,2745,5406,5583,4953,5014
"812","Oct-TyrR",253,254,452,742,664,714
"813","Gad1",5450,4263,9838,5332,5754,5224
"814","Akh",39,54,70,27,16,52
"815","Edg91",11,17,16,60,38,87
"816","Dbp73D",2075,1888,2091,1532,1051,1270
"817","slp2",3568,2843,3496,2138,1445,1750
"819","5-HT7",441,385,616,1224,1212,856
"820","Rop",4861,3993,6534,7188,6264,6729
"821","Syn",4353,3765,7132,7641,7593,6565
"822","Pxd",38,31,92,51,51,50
"823","Cbp53E",2454,1912,4119,3588,3307,3634
"824","bgcn",95,150,126,108,83,96
"825","ex",7747,6675,7698,3976,3583,2591
"826","Rrp1",16764,13969,16545,11719,8433,9972
"827","B52",34141,30529,37390,26775,20619,23079
"828","Eig71Ea",2,0,0,0,7,0
"829","Eig71Eb",0,0,0,2,1,0
"830","Eig71Ec",2,0,0,0,0,2
"831","Eig71Ed",0,0,1,1,0,0
"832","Eig71Ee",11,26,71,0,26,3
"833","Eig71Ef",1,0,0,0,0,0
"834","Eig71Eg",1,1,0,1,2,0
"835","pros",21617,21603,22318,41105,38654,37133
"836","CycC",1762,1356,1636,1535,1109,1530
"837","Fur2",5662,4503,6078,4899,4231,3989
"838","zfh1",2180,2050,2834,7997,6729,5588
"839","zfh2",14359,12371,15577,16903,13643,12023
"840","Plc21C",4234,3950,5352,5086,4568,3888
"841","gl",44,226,32,13,11,10
"842","GluRIA",792,761,1220,1967,1741,1721
"843","GluRIIA",25,23,37,31,43,25
"844","TkR99D",509,432,742,978,898,786
"845","Gβ76C",2,1,1,2,2,0
"848","Rap1",9319,8388,9265,9558,7516,7654
"849","drk",4658,4136,4700,5324,4418,4375
"850","Zw10",6113,5283,5961,4155,3087,3400
"851","hh",150,116,108,183,159,74
"852","ogre",16164,12138,14129,13816,10985,11120
"853","N",16010,14258,15862,10249,7295,6893
"854","svr",9854,8252,12024,11722,10443,9484
"855","yl",2,1,2,2,1,1
"856","fs(1)N",13,12,25,20,12,10
"857","fru",17666,12999,15334,10786,7498,7383
"858","Pgd",1102,1086,1512,1428,1266,1315
"859","wapl",8578,7399,8128,6616,5260,4529
"860","fs(1)h",28758,26810,29443,22565,17380,16148
"861","mys",4795,4136,5295,6811,5780,5119
"862","sim",89,112,121,182,203,161
"863","Mlc-c",7950,7080,8308,9467,6829,11756
"864","Xpc",14409,11616,13427,10093,7608,7187
"865","Ccp84Ag",1,0,1,0,1,2
"868","Ccp84Ad",0,1,1,1,3,1
"869","Ccp84Ac",1,2,0,0,0,1
"870","Ccp84Ab",7,14,9,26,18,33
"871","Ccp84Aa",10,12,8,6,2,4
"872","inaC",5,20,6,3,2,2
"873","retn",89,262,154,126,92,102
"874","mdy",336,349,425,864,560,756
"875","fs(2)ltoPP43",3182,3047,3326,3534,2537,3712
"876","His3.3B",48590,43814,52678,46601,37217,54230
"877","Xpac",1545,1375,1563,1082,833,1151
"878","Su(H)",1623,1502,1623,1333,964,980
"879","Hrb27C",59221,49450,57544,51097,38977,38648
"880","otk",10709,9092,10138,12434,9697,9065
"881","TkR86C",216,191,403,502,440,373
"882","RYa-R",55,38,54,230,156,173
"883","Ac76E",985,757,1495,789,813,722
"884","B-H2",204,179,220,152,135,124
"885","Polr2I",3241,2802,3217,2418,1523,3428
"886","Bx42",7090,6062,6816,4889,3740,4753
"887","elB",568,452,772,748,744,674
"888","ci",2505,2024,2723,2696,2523,1923
"889","ph-d",4530,3915,4494,3812,3214,2787
"890","ph-p",8313,7075,7572,7322,5916,5267
"891","bap",1,1,4,0,0,6
"892","C15",136,110,165,201,249,184
"893","hop",4687,3834,4704,3911,3160,2932
"894","Eip78C",350,339,233,2952,1968,1895
"895","RpS2",144822,117212,144808,114833,79251,157584
"896","Gdi",13019,10573,13414,21973,18735,21634
"897","bab1",203,175,210,421,486,391
"898","piwi",111,156,153,154,103,160
"899","enc",16955,13759,16869,13625,10509,9889
"900","cdi",5667,5001,5491,5994,4725,4164
"901","cas",10969,10400,12076,13948,8026,8562
"902","scrt",3136,3029,4502,4884,4876,4051
"903","orb",1009,933,1238,1128,945,831
"904","tok",2826,2658,3607,5449,5411,4234
"905","Scsα1",6534,5531,7541,7799,6392,8719
"906","tws",10453,8600,9887,8680,6687,6675
"907","sob",106,106,116,143,146,76
"908","bowl",880,731,923,801,993,474
"909","FoxL1",1,1,2,1,0,1
"910","fd59A",104,154,123,170,154,198
"911","fd96Ca",221,184,193,228,173,142
"912","fd96Cb",486,363,518,345,495,319
"913","Prat",2183,1787,2064,1365,1037,1228
"914","Rb97D",4528,4085,4835,4017,2757,3129
"915","14-3-3ζ",48038,38144,53646,61065,51857,58348
"916","Arl2",650,512,661,589,390,1019
"917","Eip63F-1",216,198,296,1103,843,899
"918","asRNA:Eig63F-2",0,3,0,0,0,1
"919","Gnf1",9372,7876,9231,6340,4735,4760
"920","Hnf4",519,479,661,842,812,728
"921","TfIIB",3505,3122,3581,3007,2025,4259
"922","gol",574,547,908,1492,1400,1299
"923","Gγ1",18239,15758,23919,22736,18492,28751
"924","Top1",11025,9338,10657,12581,10547,9800
"925","eIF2β",19051,18458,20607,13491,9075,15605
"926","upd1",10,11,22,17,19,7
"927","por",606,621,921,691,649,688
"928","phm",38,189,21,12,22,15
"929","gig",4418,3575,4531,4439,3600,3197
"930","Sam-S",28773,24579,30178,24880,17699,20843
"931","nmd",3239,2771,3228,2471,1927,2298
"932","Su(fu)",1411,1263,1520,1679,1294,1574
"933","ash1",5832,4913,5691,4998,3960,3663
"934","fs(1)M3",16,7,11,17,29,24
"935","Yp2",9,6,12,5,6,9
"936","U2af50",10691,9222,11184,7556,5465,7374
"937","ewg",9257,7491,8344,7386,5813,6315
"938","RpS17",69807,63658,78443,63203,40608,113316
"939","Mbs",7234,6442,7612,7434,5914,5479
"940","ey",3719,3333,3844,1991,1560,1652
"941","sv",122,128,181,313,340,327
"942","Shal",1019,950,1688,1762,1646,1673
"943","Calr",42417,36210,42908,44890,35593,44234
"944","Rab3",3770,3299,5997,5977,6048,5496
"946","RpL7",136602,110660,132099,106199,73027,124573
"947","yem",4089,3411,4023,2859,2404,2287
"948","Sox14",1009,1088,1150,8878,7152,5958
"949","Sox15",33,23,82,42,54,37
"950","trpl",7,6,6,17,21,8
"951","msl-2",3514,3144,3725,3419,2378,2352
"952","msl-1",4397,4254,4694,3459,2666,2710
"953","Hdc",117,111,207,191,205,181
"954","Psc",4787,4149,4857,4084,3551,3155
"955","ple",163,88,76,2853,929,546
"956","robo1",3058,2989,4054,5648,5177,4567
"957","faf",25864,20201,23109,25100,20113,17709
"958","fln",8,3,8,3,1,3
"959","nvy",1353,1018,1648,1707,1477,1467
"960","slbo",7,11,7,11,6,8
"961","Eip63E",3593,3093,3853,4410,3359,3322
"962","wdn",5697,5037,5739,3967,3140,3015
"963","Pabp2",12198,11558,12452,9076,6433,9588
"964","Rox8",14017,12172,14396,14585,11386,12428
"966","PCNA",17668,14696,16245,11737,7355,14570
"967","Ets65A",362,351,434,1100,984,877
"968","Ets98B",45,74,80,56,47,60
"969","Ets21C",480,496,648,453,580,383
"970","Crys",0,0,2,1,3,2
"971","bt",896,684,1305,977,718,667
"972","Cyp4d1",122,234,308,204,241,343
"973","Vha55",10139,8562,13451,13597,11897,11973
"974","spi",11866,11574,14142,8290,6018,9679
"975","GluProRS",12281,9765,11850,9520,8066,7083
"976","dac",1356,1195,1666,2131,2351,1706
"977","pie",823,691,802,650,432,495
"978","Aef1",2647,2481,2950,2248,1905,1642
"979","gcl",1614,1345,1694,1097,863,952
"980","PolA2",1904,1581,1841,1189,767,1040
"981","noc",6147,5375,6408,5464,4519,5126
"982","Con",1706,1616,2510,4982,4562,3917
"983","PpD3",3859,3255,3933,3734,2954,3359
"984","PpD5",0,1,0,4,0,0
"986","βCOP",11575,9311,10854,10586,8422,8628
"987","hbn",9,94,74,18,81,80
"988","E5",234,207,301,258,269,224
"989","lbl",205,160,219,228,282,218
"990","CanB",1383,1279,2160,3333,3064,4467
"991","CanA1",62,56,85,129,121,168
"993","GstD2",6,10,10,25,29,31
"994","GstD3",213,225,329,238,216,303
"995","GstD4",1,1,4,2,5,4
"996","GstD5",1,0,4,15,18,14
"997","GstD6",1,2,2,2,7,2
"998","GstD7",2,0,6,1,0,0
"999","GstD8",0,0,1,2,3,5
"1000","Itpr",3380,2744,3993,3617,2993,2560
"1001","Jhe",0,0,18,5,2,2
"1003","RpL23",70752,63787,79522,59252,37462,148720
"1004","γTub37C",350,241,291,266,177,227
"1005","mAcon1",17039,13035,18171,17423,14634,13271
"1006","comm",445,476,575,910,819,791
"1007","dpn",2885,2132,2911,1396,808,1068
"1008","hdc",20702,18447,23186,31235,28263,23353
"1009","hig",30873,25102,33068,14837,10463,12697
"1010","RPA1",14509,11260,12890,10274,7479,8521
"1011","Wnt5",4690,3983,4632,3871,2957,3024
"1012","Gyc32E",109,132,164,119,126,114
"1013","RpS15Aa",55953,49503,62300,49174,33684,64832
"1014","Sod2",4520,3642,4773,4317,3165,5742
"1015","α-Cat",9222,7504,10279,11071,8904,11345
"1016","ATPsynβ",46938,37323,51951,48541,38051,50617
"1017","Dbp45A",3528,3000,3441,2296,1647,2125
"1018","Nmdmc",1118,1758,2109,1335,1008,1941
"1019","Gαf",50,64,66,61,46,47
"1020","Gel",5962,6313,8525,6752,7660,6622
"1021","GstS1",4507,3275,5123,5406,4642,5642
"1022","HmgZ",18405,16277,17255,15973,10523,20459
"1023","Klc",6304,5379,7166,8167,6737,7775
"1024","Lac",6686,5527,6440,6383,4877,5490
"1025","Lcch3",371,323,547,652,669,781
"1026","Mdr50",6,6,7,13,12,1
"1027","Myo61F",1070,908,1378,1557,1360,1032
"1028","Parp",6446,4462,5565,6854,4642,6105
"1029","Rbp4",172,153,184,179,112,115
"1030","Rbp9",297,308,411,904,845,755
"1031","RpS13",98221,85451,99230,82131,53721,108969
"1032","Dsor1",1901,1630,2026,2365,2008,2423
"1033","Ssrp",21000,16875,18982,13626,10025,9886
"1034","Taf4",15221,13376,15544,12401,9682,9089
"1035","TfIIFα",4272,3605,4584,3112,2371,2596
"1036","Trf",1268,1205,1316,883,586,949
"1037","Uch",9470,8648,11433,10892,8751,11087
"1038","bys",3559,3263,3666,2571,1938,2543
"1042","brat",27664,25294,27633,39806,32054,28129
"1043","hep",3609,3289,3906,3819,3407,2920
"1044","pigeon",2602,2187,2605,2406,1922,2105
"1045","corto",7018,5881,7716,8062,6769,6332
"1046","Cks30A",9555,8071,9972,5252,3355,4708
"1047","CycD",3105,2591,2960,2204,1559,1977
"1048","dap",1899,1725,1722,2170,1423,1606
"1049","CycJ",57,70,78,133,125,116
"1050","Gsc",5,35,17,2,26,19
"1051","woc",16512,15186,17001,13117,10182,9635
"1052","Tbh",1001,830,2048,1257,1422,1284
"1053","Rac1",6604,5795,6980,7077,5601,6198
"1054","128up",4133,3102,3627,3535,2512,3728
"1055","140up",680,562,696,622,405,626
"1056","Cdc42",12219,10451,12534,13637,10424,12554
"1058","Arf1",24612,21146,25308,25259,19290,32850
"1059","Cds",2567,2224,3447,3290,3120,3202
"1060","Ogdh",12440,9953,12884,10758,9128,8726
"1061","Taf1",10830,9076,10625,9514,7414,7146
"1062","Taf5",2535,2323,2394,2075,1494,1726
"1063","βTry",7,1,142,0,15,3
"1064","δTry",8,6,31,1,14,7
"1065","γTry",0,1,2,0,1,0
"1066","Akt",8517,7613,8715,9236,7516,7503
"1067","AP-1-2β",7810,6533,8141,9033,7573,7478
"1068","CycE",17031,13147,15622,10005,6803,7969
"1069","Cyp18a1",17,14,33,15,16,18
"1071","Acbp2",1097,793,1405,1054,896,1904
"1072","Dro",10,1,2,5,0,3
"1073","htl",803,673,915,857,593,698
"1074","SrpRα",4959,4551,5132,3878,2984,3819
"1075","Itgbn",24,26,52,47,45,31
"1077","Lrr47",781,680,790,622,477,710
"1078","Nmdar1",1095,947,1879,1858,1734,1627
"1079","Os-C",4,10,7,17,17,8
"1080","Obp83b",0,0,3,0,0,0
"1081","RNaseX25",1612,1417,1688,1385,1073,1638
"1082","Ror",3615,3020,3614,3344,2492,3098
"1083","RpS9",43067,36941,43013,32331,19847,60432
"1084","RpL18A",97573,86474,100574,76602,54965,85159
"1085","RpS18",79058,70023,85074,67818,43298,119160
"1086","RpS19a",61463,52245,66450,48070,35268,71808
"1087","SerT",270,272,539,407,440,433
"1088","Sdc",6518,6223,8415,9156,8602,7320
"1089","TH1",5038,4521,5096,3806,2795,3197
"1090","Taf6",3978,3310,3868,2711,2157,2328
"1091","TfIIFβ",1263,1034,1121,1114,803,964
"1092","TfIIS",6370,5422,6184,4774,3458,5090
"1093","TpnC47D",121,104,312,106,83,161
"1094","TpnC73F",204,195,414,522,469,648
"1095","εTry",15,27,424,6,70,26
"1097","ato",25,69,38,9,35,7
"1098","cora",19142,16292,22314,20357,17508,16170
"1099","emp",1007,824,1245,1876,1549,1480
"1100","mtSSB",263,227,194,202,102,272
"1102","trn",2123,1891,2094,2609,2629,2185
"1103","Wnt4",2013,1663,2329,4509,4227,3707
"1104","Fkbp14",864,891,829,2700,2074,2460
"1105","tutl",4529,4149,7354,9019,8829,7223
"1106","hlk",258,215,358,171,147,170
"1107","NAT1",32010,27853,29724,45843,35372,32244
"1108","dmGlut",1955,1545,3046,1768,1287,1567
"1111","wal",4131,3533,4590,4032,3174,4686
"1112","Bka",1015,919,1110,659,542,873
"1113","Ccs",708,654,797,820,547,800
"1114","Aldh-III",3227,3254,4023,4875,4286,4468
"1115","l(2)03659",291,136,180,124,139,115
"1116","Phb2",13218,11519,13371,10526,7469,11233
"1117","dock",4840,4060,5264,7624,6963,6114
"1118","Prosβ1",6282,5879,6678,6701,4951,8726
"1119","Sply",1755,1582,1932,2516,2025,2084
"1120","lwr",13225,10233,12204,10401,8136,8646
"1121","l(2)05714",2338,2270,2528,1688,1140,1743
"1122","Hmgs",4002,3534,4533,3441,2747,3472
"1123","ATPsynG",6561,5528,6988,6587,4374,9586
"1124","CG10939",5077,4242,5881,1397,1114,1180
"1125","CCT5",25717,20846,23474,23058,17894,20979
"1126","DCTN3-p24",1138,967,1337,1113,849,1409
"1127","Sec61β",6322,5838,7204,6610,4647,13487
"1128","MFS14",329,342,485,702,692,752
"1129","Nup214",13347,10560,12688,9787,7405,6982
"1130","Pfdn2",5494,4955,5860,5077,3466,8564
"1131","Srp54k",4802,3880,4636,4167,3602,3532
"1132","atms",5492,4756,5775,3851,2884,3672
"1133","simj",6652,6115,7312,5711,4957,4489
"1134","sqz",2710,2086,2765,1770,1278,1283
"1135","ppan",2806,2502,3036,1796,1218,1631
"1136","Xe7",6350,5918,7372,6095,5410,5121
"1137","Ref1",12178,10286,12197,11184,7624,13044
"1138","l(3)02640",2949,1989,2037,1458,1186,1262
"1139","TrpRS",4691,4151,4779,3791,2660,3498
"1140","Chchd3",2613,2218,2907,2471,1876,2958
"1141","unc-45",1193,1126,1343,1580,1421,1337
"1142","Gug",16643,14897,17193,16112,12382,11670
"1143","l(3)04053",1774,1345,1688,1438,1143,1279
"1144","l(3)05822",4783,3884,4794,4319,3529,3422
"1145","sinu",981,953,1101,1167,1028,1062
"1146","Spn",7478,6843,8370,9648,8355,7280
"1147","msn",15748,12674,14467,25527,19540,19133
"1148","l(3)07882",4717,4353,4586,3306,2395,2474
"1149","SsRβ",5736,4678,5530,6000,4420,7748
"1150","Sas-4",3977,3377,3771,2543,1875,1861
"1151","dia",3759,3209,3867,2717,2120,1967
"1153","fbl",1110,1017,1181,1266,920,1047
"1154","bol",1663,1598,2878,1721,1693,1451
"1155","pelo",2868,2410,3017,2855,2157,2830
"1156","blw",36498,28388,40277,36036,29975,30933
"1157","eff",18520,15491,19108,22090,17304,27812
"1158","heph",16612,13602,17570,11714,10174,8671
"1159","jar",4727,4370,5590,6206,5508,4833
"1160","ox",1337,1033,1406,1578,1021,3133
"1161","poe",27014,23116,27322,28612,22450,21037
"1162","scat",2159,1879,2245,1864,1511,1520
"1163","ken",3222,2464,2939,1796,1350,1341
"1164","ms(2)35Ci",1,0,0,10,0,0
"1165","Hsp60B",4,1,3,81,0,0
"1166","Sema1a",9375,7719,9136,10683,8917,7649
"1167","Sema2a",12367,10714,12799,11487,8918,8782
"1168","Pglym87",3,2,15,49,20,11
"1169","RpL13",91381,76983,97025,74494,48675,101094
"1171","Dif",408,346,639,657,644,551
"1172","HLH3B",102,82,118,255,172,294
"1173","HLH4C",108,108,178,263,245,371
"1174","lbe",2,0,1,4,1,4
"1176","Obp19d",1,0,0,1,2,2
"1177","Obp83a",1,2,4,4,4,8
"1178","Obp84a",9,3,10,12,2,12
"1179","Obp28a",0,1,0,1,1,135
"1180","RpS4",157878,131020,159283,120769,88066,127718
"1181","RyR",1386,1099,2015,1710,1797,1460
"1182","Snap25",2148,2141,3453,2772,2595,3151
"1183","TfIIA-L",6395,5227,6514,5034,3924,4737
"1184","Taf12",3696,3219,3764,3007,2302,3013
"1185","Taf11",1297,1172,1390,973,700,1461
"1186","a10",8,16,25,19,20,39
"1189","Alg3",771,656,858,739,505,633
"1190","babo",8304,6594,7881,8472,7004,6176
"1191","Rsf1",5094,4233,5458,5179,4156,5201
"1192","Uch-L5",4881,4418,5334,4015,2730,4348
"1193","vers",2253,1994,2326,1800,1230,1702
"1194","Stt3B",10662,8572,10031,10394,8437,8676
"1195","ND-ACP",5642,5132,6714,5152,3457,8998
"1196","ND-SGDH",5679,4994,6732,4466,3191,6800
"1197","PR-Set7",8690,8305,9115,6041,4364,4336
"1198","l(3)neo43",8,8,2,6,10,18
"1199","Ssdp",9791,8680,9314,8971,6887,6565
"1200","SrpRβ",2591,2232,2591,2156,1521,2978
"1201","ηTry",0,1,4,2,1,2
"1202","θTry",1,0,30,0,6,2
"1203","ζTry",1,0,9,0,3,2
"1205","Smyd3",1404,1199,1415,1091,798,952
"1206","can",403,296,383,363,224,310
"1207","cpb",3050,2487,3003,4338,3387,3694
"1208","Cdc37",3438,2746,3046,3356,2810,3164
"1210","Ms",126,136,283,150,215,266
"1211","Dop1R1",415,360,657,1118,936,711
"1212","Trp1",4591,4036,4858,4658,3625,4483
"1213","e(r)",5656,5194,6326,5526,4276,6711
"1214","Elk",490,422,740,1922,1571,1274
"1215","fng",1926,1536,2208,3302,2752,2986
"1216","fra",7388,6443,7426,7369,6711,5711
"1218","ine",1468,1079,2260,664,542,508
"1219","Iswi",20506,17612,20303,13777,10772,10581
"1220","Klp3A",8758,6947,7957,5237,3725,3806
"1221","La",16165,12492,14075,9782,6592,8548
"1222","lark",13495,12128,14090,11827,8655,11986
"1223","Zyx",6035,4897,7048,6074,4526,6669
"1224","Mad",2544,2126,2449,2698,2086,1972
"1225","mas",1878,1739,1965,1160,859,698
"1226","Med",3154,2911,3266,3278,2767,2829
"1227","Mef2",3628,3141,4157,1631,1438,1251
